,DateRead,influent_mgd,treatFlow_mgd,ammonia_ppm,nitrate_ppm,rain_inches,cluster
164,2019-06-19,340.198608,390.294312,1.08738,2.866652,0.0,0
165,2019-07-08,416.482666,440.927979,0.783918,3.071984,3.44,0
166,2019-07-09,332.773682,386.831573,0.13405,3.206917,0.0,0
167,2019-07-11,374.11676,374.124176,0.1398,2.998423,0.88,0
168,2019-07-12,327.10199,350.036957,2.120628,3.199086,0.0,0
169,2019-08-07,331.089874,335.372284,0.095709,2.396923,0.9,0
170,2019-08-21,299.872559,389.22464,1.1433,2.946836,0.01,0
171,2019-08-23,337.890594,337.900024,0.15175,2.275862,0.38,0
172,2019-10-16,333.5065,360.796478,0.842211,2.183223,1.35,0
173,2019-10-20,401.963928,408.278625,0.458796,2.050142,1.6,0
174,2019-10-27,395.641937,415.807281,0.513458,2.304382,1.48,0
175,2019-10-31,348.269379,348.27597,0.513458,2.304382,1.25,0
176,2019-11-01,380.359558,460.625244,0.513458,2.304382,0.0,0
177,2019-11-24,341.218323,341.220367,1.742616,0.138588,0.28,0
178,2019-12-09,337.493713,337.5,0.531459,1.061129,0.75,0
179,2019-12-16,342.403625,342.409973,0.181207,1.060172,0.41,0
