"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-18","0.37",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","59",",,W","40",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-19","0.26",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400","44","H,,S","54",",,W","36",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-20","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","54",",,W","37",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-21","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","52","H,,S","63",",,W","46",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-22","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","51","H,,S","59",",,W","37",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-23","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","48",",,W","30",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-24","0.13",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","45","H,,S","62",",,W","36",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-25","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","63","H,,S","78",",,W","54",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-26","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","53","H,,S","56",",,W","47",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-27","0.01",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","54","H,,S","76",",,W","46",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
