t,srtSRTtotal,biothickl21(1),biothickl21(2),profile1xbhl21(1),profile1xbhl21(2),profile1xbhl21(3),profile1xbhl21(4),profile1xbhl21(5),profile1xbhl21(6),profile1xbail21(1),profile1xbail21(2),profile1xbail21(3),profile1xbail21(4),profile1xbail21(5),profile1xbail21(6),profile1xbaal21(1),profile1xbaal21(3),profile1xbaal21(4),profile1xbaal21(5),profile1xbaal21(6),innero2masstransl21(1),innero2masstransl21(2),q11,x11,vss11,scod11,cod11,bod11,snh11,tkn11
days,d,m,m,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,kg/d,kg/d,MGD(US),mg/L,mg/L,mgCOD/L,mgCOD/L,mgO2/L,mgN/L,mgN/L
2.6,1.09,0.0002405,0.0002386,323.2,52350,35070,22590,15170,11700,18.4,3054,13850,13940,10120,7806,5.497,4567,5232,4125,3293,1.26E+31,1.26E+31,9.195,4.215,2.841,8.03,12.5,6.175,3.464,4.514
2.65,1.065,0.0002399,0.0002386,298.6,51640,35210,22620,15180,11700,17,3015,13960,14070,10180,7836,5.077,4590,5270,4149,3306,1.26E+31,1.26E+31,9.622,4.156,2.804,8.086,12.5,6.139,3.373,4.431
2.7,1.017,0.0002396,0.0002381,284.4,51070,35320,22660,15180,11710,16.2,2988,14060,14200,10250,7866,4.837,4613,5307,4173,3319,1.26E+31,1.26E+31,9.637,4.15,2.804,8.137,12.55,6.114,3.26,4.327
2.75,0.9927,0.0002395,0.0002379,282.5,50850,35410,22690,15190,11720,16.09,2978,14160,14330,10320,7896,4.802,4635,5344,4196,3332,1.26E+31,1.26E+31,9.851,4.148,2.806,8.177,12.59,6.077,3.121,4.197
2.8,0.9813,0.0002394,0.0002378,277.5,50580,35500,22730,15200,11730,15.81,2964,14250,14460,10380,7926,4.716,4656,5381,4220,3345,1.26E+31,1.26E+31,9.137,4.176,2.829,8.209,12.66,6.041,2.955,4.04
2.85,1.015,0.0002399,0.0002381,293.8,50890,35580,22770,15220,11740,16.72,2978,14350,14580,10450,7957,4.985,4678,5418,4244,3358,1.26E+31,1.26E+31,9.299,4.111,2.788,8.243,12.62,5.969,2.796,3.881
2.9,1.022,0.0002399,0.0002382,292.1,50760,35660,22810,15230,11740,16.62,2969,14450,14710,10520,7988,4.951,4700,5456,4267,3371,1.26E+31,1.26E+31,9.669,4.092,2.778,8.296,12.66,5.925,2.649,3.739
2.95,1.008,0.0002396,0.000238,282.8,50390,35720,22840,15240,11750,16.09,2950,14540,14840,10580,8019,4.792,4721,5493,4290,3383,1.26E+31,1.26E+31,8.94,4.119,2.799,8.382,12.78,5.917,2.533,3.631
3,1.049,0.0002401,0.0002383,299.4,50710,35780,22880,15260,11760,17.02,2965,14640,14960,10650,8050,5.066,4743,5530,4314,3396,1.26E+31,1.26E+31,8.32,4.047,2.752,8.49,12.81,5.891,2.465,3.565
3.05,1.121,0.0002406,0.0002388,318.7,51090,35850,22930,15270,11770,18.11,2981,14730,15090,10720,8081,5.385,4765,5568,4338,3410,1.26E+31,1.26E+31,7.419,3.933,2.677,8.608,12.81,5.861,2.429,3.528
3.1,1.21,0.0002413,0.0002394,349.6,51690,35920,22970,15290,11780,19.83,3006,14830,15220,10780,8114,5.894,4789,5607,4362,3423,1.26E+31,1.26E+31,8.117,3.757,2.558,8.721,12.74,5.812,2.415,3.508
3.15,1.222,0.000241,0.0002395,332.8,51270,35980,23010,15310,11790,18.87,2982,14920,15350,10850,8146,5.607,4812,5645,4387,3437,1.26E+31,1.26E+31,7.278,3.722,2.536,8.845,12.83,5.826,2.409,3.507
3.2,1.283,0.0002415,0.0002398,356.4,51630,36040,23050,15320,11800,20.2,2999,15020,15470,10920,8180,5.999,4836,5685,4412,3451,1.26E+31,1.26E+31,6.658,3.596,2.452,8.951,12.8,5.799,2.406,3.5
3.25,1.384,0.000242,0.0002403,384.1,52070,36100,23100,15340,11820,21.75,3017,15120,15600,10990,8213,6.454,4861,5725,4437,3465,1.26E+31,1.26E+31,5.65,3.45,2.354,9.037,12.73,5.757,2.397,3.485
3.3,1.519,0.0002428,0.000241,433.5,52790,36160,23140,15360,11830,24.51,3048,15220,15740,11060,8248,7.267,4887,5767,4463,3479,1.26E+31,1.26E+31,6.606,3.252,2.22,9.099,12.59,5.684,2.38,3.458
3.35,1.523,0.0002424,0.0002411,403.4,52290,36220,23190,15380,11840,22.8,3021,15320,15860,11130,8283,6.762,4913,5808,4489,3493,1.26E+31,1.26E+31,6.554,3.219,2.198,9.155,12.61,5.67,2.344,3.422
3.4,1.519,0.0002423,0.000241,397.6,52050,36260,23230,15410,11850,22.49,3011,15410,15990,11200,8317,6.669,4940,5849,4514,3508,1.26E+31,1.26E+31,5.736,3.178,2.171,9.192,12.6,5.642,2.29,3.366
3.45,1.585,0.0002428,0.0002412,432,52470,36300,23270,15430,11870,24.42,3031,15510,16120,11270,8351,7.24,4966,5891,4540,3522,1.26E+31,1.26E+31,6.038,3.068,2.097,9.208,12.5,5.576,2.224,3.292
3.5,1.615,0.0002428,0.0002414,427.7,52350,36340,23320,15450,11880,24.17,3023,15600,16240,11340,8385,7.164,4994,5932,4565,3536,1.26E+31,1.26E+31,5.591,3.023,2.067,9.208,12.45,5.523,2.136,3.2
3.55,1.673,0.000243,0.0002415,447.3,52540,36370,23360,15480,11890,25.27,3032,15700,16370,11410,8420,7.489,5021,5973,4591,3550,1.26E+31,1.26E+31,5.44,2.947,2.016,9.191,12.36,5.449,2.038,3.094
3.6,1.744,0.0002432,0.0002417,460.6,52660,36400,23400,15500,11910,26.01,3037,15790,16490,11470,8454,7.708,5049,6013,4616,3564,1.26E+31,1.26E+31,4.351,2.881,1.972,9.162,12.26,5.371,1.928,2.977
3.65,1.909,0.0002439,0.0002422,525.8,53390,36430,23430,15530,11920,29.67,3070,15890,16610,11540,8489,8.787,5078,6054,4642,3579,1.26E+31,1.26E+31,4.419,2.74,1.876,9.131,12.07,5.265,1.833,2.87
3.7,2.043,0.0002441,0.0002426,544.7,53590,36460,23470,15550,11940,30.72,3078,15990,16720,11610,8523,9.097,5107,6093,4667,3593,1.26E+31,1.26E+31,3.7,2.652,1.816,9.093,11.94,5.176,1.731,2.759
3.75,2.22,0.0002446,0.000243,600.7,54090,36490,23490,15580,11950,33.87,3102,16080,16830,11670,8557,10.03,5137,6131,4692,3606,1.26E+31,1.26E+31,3.966,2.532,1.735,9.058,11.78,5.079,1.643,2.661
3.8,2.337,0.0002446,0.0002433,601.9,54100,36510,23520,15600,11970,33.96,3104,16170,16930,11730,8590,10.05,5167,6168,4715,3620,1.26E+31,1.26E+31,2.96,2.471,1.693,9.017,11.67,5,1.548,2.558
3.85,2.578,0.0002453,0.0002437,685.4,54210,36520,23540,15620,11980,38.59,3100,16240,16990,11780,8616,11.43,5195,6196,4732,3630,1.26E+31,1.26E+31,2.96,2.351,1.611,8.985,11.51,4.909,1.477,2.477
3.9,2.786,0.0002455,0.000244,725.4,54350,36550,23560,15640,12000,40.74,3096,16290,17030,11810,8638,12.07,5219,6216,4744,3638,1.26E+31,1.26E+31,2.96,2.268,1.555,8.952,11.39,4.832,1.406,2.398
3.95,2.944,0.0002456,0.0002443,742.6,54480,36580,23590,15660,12010,41.64,3097,16330,17040,11830,8656,12.34,5241,6228,4751,3644,1.26E+31,1.26E+31,2.96,2.211,1.516,8.917,11.29,4.764,1.336,2.322
4,3.054,0.0002456,0.0002445,748.9,54590,36600,23610,15680,12020,41.95,3100,16340,17030,11840,8673,12.44,5259,6234,4755,3648,1.26E+31,1.26E+31,2.96,2.171,1.489,8.881,11.21,4.7,1.266,2.248
4.05,3.124,0.0002456,0.0002446,750.5,54680,36630,23640,15700,12030,42.01,3103,16340,17000,11850,8687,12.46,5274,6234,4756,3652,1.26E+31,1.26E+31,2.96,2.142,1.469,8.842,11.14,4.64,1.199,2.175
4.1,3.166,0.0002456,0.0002446,750.5,54780,36650,23660,15720,12040,41.98,3106,16330,16960,11850,8699,12.46,5286,6230,4754,3655,1.26E+31,1.26E+31,2.96,2.119,1.453,8.801,11.08,4.579,1.132,2.105
4.15,3.188,0.0002456,0.0002446,750.3,54880,36680,23690,15740,12050,41.94,3110,16310,16910,11850,8710,12.46,5295,6223,4752,3657,1.26E+31,1.26E+31,2.96,2.1,1.44,8.756,11.01,4.516,1.067,2.036
4.2,3.2,0.0002456,0.0002446,750.3,54990,36700,23720,15760,12060,41.91,3113,16280,16860,11840,8721,12.46,5302,6214,4747,3658,1.26E+31,1.26E+31,2.96,2.083,1.429,8.708,10.95,4.451,1.004,1.969
4.25,3.205,0.0002456,0.0002446,750.7,55100,36730,23750,15770,12070,41.9,3117,16240,16800,11830,8730,12.46,5308,6203,4742,3659,1.26E+31,1.26E+31,2.96,2.068,1.419,8.654,10.88,4.382,0.942,1.905
4.3,3.207,0.0002456,0.0002446,751.3,55220,36750,23780,15790,12080,41.9,3121,16190,16740,11820,8738,12.46,5311,6190,4736,3660,1.26E+31,1.26E+31,2.96,2.054,1.41,8.595,10.8,4.309,0.882,1.842
4.35,3.208,0.0002456,0.0002446,752.1,55330,36780,23810,15810,12090,41.91,3125,16150,16680,11810,8746,12.47,5313,6177,4730,3660,1.26E+31,1.26E+31,2.96,2.043,1.402,8.531,10.72,4.231,0.8239,1.782
4.4,3.209,0.0002456,0.0002446,753,55450,36810,23840,15820,12100,41.92,3128,16100,16610,11800,8753,12.48,5314,6164,4723,3661,1.26E+31,1.26E+31,2.96,2.032,1.394,8.461,10.64,4.149,0.7678,1.726
4.45,3.209,0.0002456,0.0002446,754,55560,36830,23870,15840,12110,41.94,3132,16050,16550,11780,8759,12.48,5314,6150,4716,3660,1.26E+31,1.26E+31,2.96,2.023,1.388,8.386,10.56,4.062,0.7139,1.672
4.5,3.209,0.0002456,0.0002446,754.9,55670,36860,23900,15850,12120,41.95,3135,15990,16490,11770,8765,12.49,5313,6136,4708,3660,1.26E+31,1.26E+31,2.96,2.015,1.382,8.307,10.47,3.97,0.6623,1.623
4.55,3.21,0.0002456,0.0002446,755.8,55770,36890,23930,15870,12130,41.97,3138,15940,16430,11750,8770,12.5,5311,6122,4701,3659,1.26E+31,1.26E+31,2.96,2.008,1.378,8.225,10.38,3.875,0.6132,1.578
4.6,3.21,0.0002456,0.0002446,756.7,55870,36910,23960,15880,12140,41.99,3142,15890,16370,11730,8775,12.5,5309,6108,4693,3659,1.26E+31,1.26E+31,2.96,2.002,1.373,8.141,10.29,3.777,0.5667,1.538
4.65,3.211,0.0002456,0.0002446,757.5,55960,36940,23990,15900,12150,42.01,3145,15840,16310,11720,8780,12.51,5306,6094,4686,3658,1.26E+31,1.26E+31,2.96,1.997,1.37,8.057,10.2,3.677,0.5231,1.502
4.7,3.211,0.0002456,0.0002446,758.4,56050,36960,24010,15910,12160,42.03,3148,15780,16250,11700,8784,12.52,5303,6080,4678,3657,1.26E+31,1.26E+31,2.96,1.993,1.367,7.975,10.11,3.575,0.4823,1.471
4.75,3.212,0.0002456,0.0002446,759.2,56140,36990,24040,15920,12170,42.05,3151,15730,16200,11680,8787,12.52,5299,6066,4671,3656,1.26E+31,1.26E+31,2.96,1.989,1.364,7.896,10.03,3.473,0.4444,1.445
4.8,3.212,0.0002456,0.0002446,759.9,56230,37010,24060,15940,12180,42.07,3154,15680,16140,11670,8791,12.53,5295,6053,4663,3655,1.26E+31,1.26E+31,2.96,1.986,1.362,7.823,9.949,3.371,0.4096,1.423
